,n,time
0,1,0.0009773130458779634
1,2,0.00188932070042938
2,3,0.000935550567228347
3,4,0.0009683308657258749
4,5,0.001087005943991244
5,6,0.001176035301759839
6,7,0.0012329058581963181
7,8,0.001342154040466994
8,9,0.001650645628105849
9,10,0.0016231028409674764
10,11,0.0020269471127539874
11,12,0.001795294580515474
12,13,0.0020164683880284427
13,14,0.0023678957833908497
14,15,0.0025062704738229515
15,16,0.002675712639465928
16,17,0.003417445404920727
17,18,0.0027282082848250865
18,19,0.0030161026399582623
19,20,0.0031915734941139816
20,22,0.0036988196847960353
21,24,0.0035519161401316524
22,26,0.0039303498761728405
23,28,0.005129769751802087
24,30,0.004736057368572802
25,32,0.004951976833399385
26,34,0.005536294884514063
27,36,0.005711648969445378
28,38,0.006240005001891404
29,40,0.00654421177925542
30,42,0.007600864458363503
31,44,0.00770561869489029
32,46,0.008068911682348698
33,48,0.008413392819929867
34,50,0.008690029648132622
35,55,0.009973733450751752
36,60,0.012395075091626495
37,65,0.013549495125189423
38,70,0.015092784841544925
39,75,0.017009324713144452
40,80,0.01967439899686724
41,85,0.021914129299111663
42,90,0.02469156077131629
43,95,0.026458020189311357
44,100,0.029388406353536994
45,110,0.03599044760689139
46,120,0.04299603826599196
47,130,0.04935245941393077
48,140,0.05838347863173112
49,150,0.06987420343793929
50,160,0.07812197416555136
51,170,0.08815716887824238
52,180,0.09974050361197442
53,190,0.11648280656896531
54,200,0.12803304281318562
55,210,0.14416532212868333
56,220,0.160060781724751
57,230,0.18652308907592668
58,240,0.19953779832459986
59,250,0.2268186704069376
