,n,time
0,1,0.0011348369251936675
1,2,0.001081994860433042
2,3,0.0011608883272856475
3,4,0.0010652771824970842
4,5,0.0012759584747254848
5,6,0.0012630624882876873
6,7,0.0015899640461429954
7,8,0.0015954482462257147
8,9,0.0017842735070735217
9,10,0.0017887557670474051
10,11,0.0019824715750291944
11,12,0.002009457126259804
12,13,0.002173441993072629
13,14,0.0024276572279632092
14,15,0.0028907468495890497
15,16,0.002714264770038426
16,17,0.0030329839000478387
17,18,0.0032489856146276
18,19,0.003181876060552895
19,20,0.0033770113997161387
20,22,0.003774576615542173
21,24,0.004038865999318659
22,26,0.004624284533783793
23,28,0.004730738019570708
24,30,0.006145773618482053
25,32,0.006439020517282188
26,34,0.006763008255511523
27,36,0.005941123040392995
28,38,0.0059937734156847
29,40,0.007017664914019406
30,42,0.0077604746585711835
31,44,0.008712774673476816
32,46,0.009246917511336505
33,48,0.00999034292064607
34,50,0.010285783419385552
35,55,0.0112481559952721
36,60,0.014847917230799795
37,65,0.018327597202733158
38,70,0.020372857227921485
39,75,0.01953322488348931
40,80,0.021707665547728537
41,85,0.022737330053932966
42,90,0.02522257212549448
43,95,0.027755479835905136
44,100,0.031644435902126136
45,110,0.03858866536524147
46,120,0.04606628263834864
47,130,0.053864250681363045
48,140,0.06483900127001106
49,150,0.07845644424203783
50,160,0.08305863692890852
51,170,0.09775654818862677
52,180,0.11489223899319768
53,190,0.12259594816248864
54,200,0.138965378748253
55,210,0.15223761192522944
56,220,0.1708702957816422
57,230,0.19826096168719232
58,240,0.22224109415896237
59,250,0.23506013493519276
