n,time
1,8.04901123046875e-6
2,1.633644104003906e-5
3,2.6655197143554687e-5
4,4.9693584442138674e-05
5,4.6782493591308593e-5
6,7.073163986206055e-5
7,1.0974884033203125e-4
8,1.5555381774902345e-4
9,2.1144628524780274e-4
10,3.440999984741211e-4
11,3.753566741943359e-4
12,3.590965270996094e-4
13,4.897665977478027e-4
14,6.082582473754882e-4
15,7.485389709472656e-4
16,9.052014350891113e-4
17,0.001070556640625
18,0.0012664079666137695
19,0.0014361786842346192
20,0.0016849160194396973
22,0.0023221588134765625
24,0.0029070186614990235
26,0.003918683528900147
28,0.004426531791687012
30,0.005661747455596924
32,0.007221906185150146
34,0.00826357126235962
36,0.009922051429748535
38,0.011794202327728272
40,0.01479083776473999
42,0.01687854766845703
44,0.019170124530792237
46,0.023571467399597167
48,0.026004364490509035
50,0.028733704090118408
55,0.04000946760177612
60,0.048521809577941895
65,0.0643126893043518
70,0.08117406368255616
75,0.10421169996261596
80,0.1270534348487854
85,0.14868085384368895
90,0.19281948804855348
95,0.230440936088562
100,0.27372428417205813
110,0.39742297649383546
120,0.5001285600662232
130,0.013861080805460613
140,0.017585081458091737
150,0.022067330678304038
160,0.02777857577800751
170,0.03369358797868093
180,0.04682311010360718
190,0.05081966924667358
200,0.06094218178590139
210,0.08190617314974467
220,0.1064115374883016
230,0.10517387382189433
240,0.1426578719218572
250,0.139083603143692
