n,time
1,5.9999999999993395e-5
2,1.9999999999988916e-5
3,1.1999999999986244e-4
4,9.999999999998011e-5
5,1.40000000000029e-4
6,1.1999999999979139e-4
7,1.4000000000010003e-4
8,2.3999999999986697e-4
9,2.2000000000019782e-4
10,3.400000000003445e-4
11,4.2000000000044226e-4
12,5.600000000006844e-4
13,5.200000000004934e-4
14,7.999999999995566e-4
15,8.800000000010755e-4
16,0.0011200000000005162
17,0.0011399999999991905
18,0.0013999999999995793
19,0.0016000000000011027
20,0.0017800000000005411
22,0.0024599999999992406
24,0.003059999999998695
26,0.00398000000000053
28,0.005060000000000855
30,0.005540000000000873
32,0.007139999999998281
34,0.008020000000000778
36,0.010400000000000773
38,0.011200000000002888
40,0.013199999999999363
42,0.015479999999998882
44,0.020160000000001333
46,0.021919999999998368
48,0.024799999999998476
50,0.027140000000003398
55,0.03641999999999996
60,0.050620000000000685
65,0.06230000000000018
70,0.07597999999999899
75,0.09699999999999875
80,0.11479999999999847
85,0.14728000000000008
90,0.1855200000000025
95,0.21873999999999683
100,0.2634800000000018
110,0.37491999999999964
120,0.5151000000000033
130,0.8245799999999985
140,0.9799999999999989
150,1.2056999999999891
160,1.5397599999999898
170,1.9809799999999995
180,2.429059999999995
190,2.9483599999999885
200,3.547019999999993
210,4.014559999999988
220,4.399099999999989
230,5.285060000000008
240,7.204460000000017
250,8.212900000000017
